"Experiment #0"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
10,0.33,1,1.25495,0.745049,1,-0.1,0,1,14
11,0.313636,1,1.27101,0.728988,1,-0.1,0,1,14
12,0.269444,1,1.31225,0.687747,1,-0.1,0,1,14
13,0.19359,1,1.376,0.624001,1,-0.1,0,1,14
14,0.102381,1,1.44124,0.558766,1,-0.1,0,1,14
"Experiment #14"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.995556,0.996792,0,1.99358,1,-0.1,3,1,14
1,0.792222,0.996792,1.36895,0.62463,1,-0.1,3,1,14
2,0.658889,0.996792,1.48164,0.511941,1,-0.1,3,1,14
3,0.512222,0.996792,1.55127,0.442318,1,-0.1,3,1,14
4,0.349444,0.996792,1.57947,0.414111,1,-0.1,3,1,14
5,0.191333,0.996792,1.564,0.42959,1,-0.1,3,1,14
6,0.0503704,0.996792,1.51374,0.479842,1,-0.1,3,1,14
7,0.121111,0.996792,1.42343,0.570153,1,-0.1,3,1,14
8,0.240416,0.996792,1.33264,0.660943,1,-0.1,3,1,14
9,0.300988,0.996792,1.27816,0.715423,1,-0.1,3,1,14
10,0.316889,0.996792,1.26235,0.731229,1,-0.1,3,1,14
11,0.292626,0.996792,1.28517,0.708407,1,-0.1,3,1,14
12,0.236759,0.996792,1.33479,0.658798,1,-0.1,3,1,14
13,0.165726,0.996792,1.39112,0.602464,1,-0.1,3,1,14
14,0.0815871,0.996792,1.45379,0.539799,1,-0.1,3,1,14
"Experiment #15"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.983642,0.988167,0,1.97634,1,-0.1,6,1,14
1,0.783642,0.988167,1.35584,0.620495,1,-0.1,6,1,14
2,0.650308,0.988167,1.46914,0.507196,1,-0.1,6,1,14
3,0.513272,0.988167,1.53625,0.440091,1,-0.1,6,1,14
4,0.350309,0.988167,1.56669,0.409653,1,-0.1,6,1,14
5,0.196976,0.988167,1.55398,0.422349,1,-0.1,6,1,14
6,0.046605,0.988167,1.50619,0.470141,1,-0.1,6,1,14
7,0.102073,0.988167,1.42568,0.550661,1,-0.1,6,1,14
8,0.217052,0.988167,1.34035,0.635989,1,-0.1,6,1,14
9,0.286111,0.988167,1.27896,0.697371,1,-0.1,6,1,14
10,0.316358,0.988167,1.24955,0.726781,1,-0.1,6,1,14
11,0.302721,0.988167,1.26301,0.713324,1,-0.1,6,1,14
12,0.253395,0.988167,1.30902,0.667312,1,-0.1,6,1,14
13,0.186871,0.988167,1.36475,0.611588,1,-0.1,6,1,14
14,0.0981041,0.988167,1.42826,0.548079,1,-0.1,6,1,14
"Experiment #16"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.328076,0.435545,0,0.87109,1,-0.1,-1,3,5
1,0.234187,0.435545,0.619443,0.251647,1,-0.1,-1,3,5
2,0.166965,0.435545,0.681395,0.189695,1,-0.1,-1,3,5
3,0.0962247,0.435545,0.713893,0.157197,1,-0.1,-1,3,5
4,0.058771,0.435545,0.718406,0.152683,1,-0.1,-1,3,5
5,0.0389654,0.435545,0.717647,0.153443,1,-0.1,-1,3,5
6,0.0276136,0.435545,0.715699,0.155391,1,-0.1,-1,3,5
7,0.0206162,0.435545,0.713926,0.157163,1,-0.1,-1,3,5
8,0.0183003,0.435545,0.712313,0.158778,1,-0.1,-1,3,5
9,0.0180148,0.435545,0.710948,0.160142,1,-0.1,-1,3,5
10,0.0180642,0.435545,0.709739,0.16135,1,-0.1,-1,3,5
11,0.0160844,0.435545,0.708347,0.162743,1,-0.1,-1,3,5
12,0.0128142,0.435545,0.706696,0.164394,1,-0.1,-1,3,5
13,0.00867958,0.435545,0.704252,0.166838,1,-0.1,-1,3,5
14,0.011163,0.435545,0.701205,0.169885,1,-0.1,-1,3,5
"Experiment #17"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.8403,0.879826,0,1.75965,1,-0.1,0,3,5
1,0.686411,0.879826,1.18086,0.578784,1,-0.1,0,3,5
2,0.576411,0.879826,1.28625,0.473402,1,-0.1,0,3,5
3,0.452522,0.879826,1.35664,0.403009,1,-0.1,0,3,5
4,0.340439,0.879826,1.38699,0.372667,1,-0.1,0,3,5
