"Epoch","Error X","Error Y","Error Z","Error W","Global Best X","Global Best Y","Global Best Z","Global Best W"
98,2.1674492024647947,0.4386266953614916,1.193687717111313,1.0490910343172548,20.000001235139276,7.000030191218416,6.9999767811841105,-12.000002029968428
99,1.638775422555168,0.32543643771426284,0.9027211399582227,0.8059252444818042,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
100,1.2100081847171011,0.23836631627271657,0.6683912518663979,0.5905537024317161,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
101,0.8706574033633208,0.178019902625703,0.48133964848695376,0.4190106514400141,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
102,0.5868449188458315,0.12833678353831704,0.3240938854775875,0.27862707360744615,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
103,0.3330164988137153,0.07268300417915353,0.18333034840039394,0.15880843312320003,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
104,0.19350655077737494,0.040617813856881554,0.10705851990049542,0.09341827324196192,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
105,0.06931985050146856,0.014122896377015118,0.03832311399680179,0.034031202177770135,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
106,0.013427188282399397,0.005488337035809181,0.006931099498360556,0.004772437103532989,19.999999689431785,7.000017090815438,6.999997313742835,-12.000003154413552
107,0.01429642763711786,0.004168832921697469,0.0076492599110483915,0.006324520064615807,20.00000102196331,7.000010205782888,6.999994320204656,-11.999999047605446
108,0.051101834472361406,0.010237437606673323,0.028481840962596594,0.025026633120263028,20.00000102196331,7.000010205782888,6.999994320204656,-11.999999047605446
109,0.012185734364369573,0.0026571270114668943,0.006587743769119561,0.005848297207652704,20.00000219839554,7.000004575111777,6.999995979315904,-11.999996874502793
110,0.0014127764544667998,0.0006074564616617937,0.0005024121381315373,0.0004779359405876597,20.00000219839554,7.000004575111777,6.999995979315904,-11.999996874502793
111,0.004782603623665411,0.0011283311856389933,0.0025319967746962827,0.002216627050352868,20.000000659365714,7.000005576678008,6.999998970348402,-11.999995861066605
112,0.003057594899036917,0.0006743200832857947,0.001612995219064738,0.001471548476401125,20.000000638076155,7.0000020495337125,7.000000814480111,-11.999996384070029
113,0.0006830601385944688,0.00013820449221076402,0.00028498951352435306,0.00035749049276950285,19.99999786574445,7.000001351289456,7.000002727377245,-11.99999896097972
114,0.00025114525324351625,0.00004302767514834136,0.0000652241484586163,0.0001343113852069887,19.99999786574445,7.000001351289456,7.000002727377245,-11.99999896097972
115,0.0004890540252328551,0.00013539081337936342,0.00027185211150932277,0.00023686704369394298,19.999998016837928,6.999999879754055,7.00000155697103,-11.999998685832583
116,0.0004517861242861321,0.00008985794359091535,0.00022482347206667533,0.00023234915332401155,19.999998016837928,6.999999879754055,7.00000155697103,-11.999998685832583
117,0.0002073415813240522,0.000019324027079339883,0.00003691958807535175,0.0001161389578917093,19.999998016837928,6.999999879754055,7.00000155697103,-11.999998685832583
